,airport-id,latitude,longitude,City,State,AirportName
860,CLU,39.2617,-85.8967,Columbus, IN, Columbus Municipal
870,CMH,39.998,-82.8919,Columbus, OH, Port Columbus International
871,CMI,40.0393,-88.2781,Champaign/Urbana, IL, University of Illinois/Willard
880,CMX,47.1683,-88.4883,Hancock/Houghton, MI, Houghton County Memorial
887,CNK,39.5493,-97.6523,Concordia, KS, Blosser Municipal
889,CNM,32.3383,-104.2633,Carlsbad, NM, Cavern City Air Terminal
896,CNW,31.6378,-97.074,Waco, TX, TSTC Waco
898,CNY,38.755,-109.7548,Moab, UT, Canyonlands Field
900,COD,44.5202,-109.0238,Cody, WY, Yellowstone Regional
901,COE,47.7743,-116.8196,Coeur d'Alene, ID, Coeur d'Alene - Pappy Boyington Field
902,COF,28.2349,-80.6101,Cocoa Beach, FL, Patrick AFB
908,CON,43.2033,-71.5017,Concord, NH, Concord Municipal
912,COS,38.8058,-104.7002,Colorado Springs, CO, City of Colorado Springs Municipal
913,COT,28.4567,-99.2183,Cotulla, TX, Cotulla-La Salle County
914,COU,38.8183,-92.22,Columbia, MO, Columbia Regional
923,CPR,42.9079,-106.4643,Casper, WY, Casper/Natrona County International
926,CPX,18.3048,-65.1816,Culebra, PR, Benjamin Rivera Noriega
934,CRE,33.8118,-78.7239,Myrtle Beach, SC, Grand Strand
939,CRP,27.7704,-97.5012,Corpus Christi, TX, Corpus Christi International
941,CRS,45.4203,22.2522,Corsicana, TX, C David Campbell Field-Corsicana Municipal
944,CRW,38.3732,-81.5932,Charleston/Dunbar, WV, Yeager
948,CSG,32.5163,-84.9389,Columbus, GA, Columbus Airport
952,CSM,35.34,-99.2,Clinton, OK, Clinton Sherman
954,CSV,35.9513,-85.085,Crossville, TN, Crossville Memorial-Whitson Field
958,CTB,48.6083,-112.3761,Cut Bank, MT, Cut Bank International
966,CTO,40.9067,-72.7917,Calverton, NY, Calverton Executive Airpark
970,CTY,29.635,-83.105,Cross City, FL, Cross City Airport
971,CTZ,34.975,-78.3656,Clinton, NC, Clinton Sampson County
987,CVG,39.0488,-84.6678,Cincinnati, OH, Cincinnati/Northern Kentucky International
990,CVN,34.4251,-103.0793,Clovis, NM, Clovis Municipal
992,CVS,34.3995,-103.3222,Clovis, NM, Cannon AFB
995,CWA,44.7776,-89.6668,Mosinee, WI, Central Wisconsin
998,CWF,30.2133,-93.1433,Lake Charles, LA, Chennault International
1005,CXF,67.2522,-150.2039,Coldfoot, AK, Coldfoot Airport
1014,CYF,60.1492,-164.2856,Chefornak, AK, Chefornak Airport
1019,CYS,41.1557,-104.8118,Cheyenne, WY, Cheyenne Regional/Jerry Olson Field
1026,CZF,61.7809,-166.0395,Cape Romanzof, AK, Cape Romanzof Airport
1031,CZN,62.0712,-142.0484,Chisana, AK, Chisana Airport
1036,DAB,29.1798,-81.0581,Daytona Beach, FL, Daytona Beach International
1039,DAG,34.8537,-116.7867,Daggett, CA, Barstow/Daggett
1041,DAL,32.847,-96.8517,Dallas, TX, Dallas Love Field
1043,DAN,36.5729,-79.3361,Danville, VA, Danville Regional
1049,DAY,39.9024,-84.2194,Dayton, OH, James M Cox/Dayton International
1054,DBQ,42.402,-90.7095,Dubuque, IA, Dubuque Regional
1058,DCA,38.8521,-77.0377,Washington, DC, Ronald Reagan Washington National
1064,DDC,37.7634,-99.9656,Dodge City, KS, Dodge City Regional
1069,DEC,39.8347,-88.8663,Decatur, IL, Decatur Airport
1074,DEN,39.8617,-104.6732,Denver, CO, Denver International
1075,DET,42.4092,-83.0099,Detroit, MI, Coleman A. Young Municipal
1078,DFW,32.8968,-97.038,Dallas/Fort Worth, TX, Dallas/Fort Worth International
1085,DHB,48.616,-123.0,Deer Harbor, WA, Deer Harbor Marina
1089,DHN,31.3213,-85.4497,Dothan, AL, Dothan Regional
1091,DHT,36.0226,-102.5473,Dalhart, TX, Dalhart Municipal
1096,DIK,46.7967,-102.8017,Dickinson, ND, Dickinson - Theodore Roosevelt Regional
1099,DIO,65.7586,-168.9531,Diomede Island, AK, Diomede Heliport
1117,DLF,29.3595,-100.778,Del Rio, TX, Laughlin AFB
1118,DLG,59.0446,-158.5054,Dillingham, AK, Dillingham Airport
1119,DLH,46.8421,-92.1936,Duluth, MN, Duluth International
1122,DLS,45.6185,-121.1673,The Dalles, OR, Columbia Gorge Regional/The Dalles Municipal
1126,DMA,32.1665,-110.8832,Tucson, AZ, Davis Monthan AFB
1132,DMN,32.2623,-107.7206,Deming, NM, Deming Municipal
1141,DNV,40.1992,-87.5959,Danville, IL, Vermilion Regional
1153,DOV,39.1295,-75.4659,Dover, DE, Dover AFB
1155,DPA,41.9067,-88.2483,Chicago, IL, Du Page County
1161,DRA,36.6194,-116.0328,Mercury, NV, Desert Rock
1163,DRG,66.0696,-162.7664,Deering, AK, Deering Airport
1165,DRO,37.1517,-107.7533,Durango, CO, Durango La Plata County
1167,DRT,29.3742,-100.9272,Del Rio, TX, Del Rio International
1173,DSM,41.5341,-93.6506,Des Moines, IA, Des Moines International
1181,DTW,42.2124,-83.3534,Detroit, MI, Detroit Metro Wayne County
1183,DUC,34.4709,-97.9599,Duncan, OK, Halliburton Field
1186,DUG,31.4727,-109.6021,Douglas, AZ, Bisbee Douglas International
1187,DUJ,41.1783,-78.8983,DuBois, PA, DuBois Regional
1191,DUT,53.9,-166.5435,Unalaska, AK, Unalaska Airport
1194,DVL,48.1142,-98.9088,Devils Lake, ND, Devils Lake Regional
1203,DYS,32.4222,-99.8597,Abilene, TX, Dyess AFB
1208,EAA,64.7781,-141.1496,Eagle, AK, Eagle Airport
1212,EAR,40.7238,-99.0068,Kearney, NE, Kearney Regional
1214,EAT,47.3984,-120.2062,Wenatchee, WA, Pangborn Memorial
1215,EAU,44.8658,-91.4843,Eau Claire, WI, Chippewa Valley Regional
1225,ECA,-50.2803,-72.0532,East Tawas, MI, Iosco County
1226,ECG,36.2606,-76.1746,Elizabeth City, NC, Elizabeth City CGAS/Regional
1229,ECP,30.3582,-85.7956,Panama City, FL, Northwest Florida Beaches International
1230,EDA,55.954,-133.658,Edna Bay, AK, Edna Bay Airport
1232,EDF,61.2531,-149.7939,Anchorage, AK, Elmendorf AFB
1238,EDW,34.9054,-117.8837,Edwards, CA, Edwards AFB
1239,EED,34.7667,-114.6233,Needles, CA, Needles Airport
1240,EEK,60.2184,-162.0235,Eek, AK, Eek Airport
1241,EFD,29.6073,-95.1587,Houston, TX, Ellington
1246,EGE,39.6425,-106.9176,Eagle, CO, Eagle County Regional
1251,EGV,45.9323,-89.2683,Eagle River, WI, Eagle River Union
1252,EGX,58.1855,-157.3754,Egegik, AK, Egegik Airport
